key,value
window_title,lufus
log_window_title,lufus Журнал
about_window_title,Про програму
settings_window_title,Налаштування
btn_copy_log,Копіювати до буфера обміну
btn_save_log,Зберегти журнал...
dlg_save_log_title,Зберегти журнал
save_failed_title,Помилка збереження
save_failed_body,Не вдалося зберегти журнал:
settings_label_language,Мова
settings_no_languages,Мови не знайдено
header_drive_properties,Властивості пристрою
header_format_options,Параметри форматування
header_status,Статус
lbl_device,Пристрій
lbl_boot_selection,Вибір завантаження
lbl_image_option,Параметр образу
lbl_partition_scheme,Схема розділів
lbl_target_system,Цільова система
lbl_volume_label,Мітка тома
lbl_file_system,Файлова система
lbl_flash_option,Параметр флеш-пам'яті
lbl_cluster_size,Розмір кластера
combo_image_windows,Стандартна установка Windows
combo_image_linux,Стандартний Linux
combo_image_format,Тільки режим форматування
combo_partition_gpt,GPT
combo_partition_mbr,MBR
combo_target_uefi,UEFI (без CSM)
combo_target_bios,BIOS (або UEFI-CSM)
combo_cluster_4096,4096 байтів (за замовчуванням)
combo_cluster_8192,8192 байтів
combo_badblocks_1pass,1 прохід
combo_flash_iso,Режим Iso
combo_flash_woe,Woe USB
combo_flash_ventoy,Ventoy
combo_flash_dd,DD
combo_flash_none,Нічого
chk_quick_format,Швидке форматування
chk_extended_label,Створити розширену мітку та файли піктограм
chk_bad_blocks,Перевірити пристрій на наявність пошкоджених блоків
btn_select,ВИБРАТИ
btn_start,ПОЧАТИ
btn_cancel,СКАСУВАТИ
tooltip_refresh,Оновити USB-пристрої (Ctrl+R)
tooltip_download,Завантажити оновлення
tooltip_about,Про програму
tooltip_settings,Налаштування
tooltip_log,Журнал
status_ready,Готовий
status_scanning,Сканування USB-пристроїв...
status_scan_failed,Помилка ск
status_flashing,Прошивка...
progress_preparing,Підготовка...
progress_complete,Готово! 100%
progress_failed,Помилка
progress_starting,Початок.. 10%
progress_unmounted,Диск демонтовано.. 20%
progress_formatted,Форматування диска.. 60%
progress_label_changed,Мітку змінено.. 80%
progress_mount_done,Монтування виконано.. Завершено! 100%
msgbox_cancel_title,Скасування
msgbox_cancel_body,Ви дійсно хочете скасувати?
msgbox_success_title,Успішно
msgbox_success_body,USB-диск успішно прошито!
msgbox_error_title,Помилка
msgbox_error_body,Не вдалося прошити USB-диск.
msgbox_no_image_title,Немає образу
msgbox_no_image_body,Будь ласка спочатку виберіть дійсний файл установки.
msgbox_no_device_title,Немає пристрою
msgbox_no_device_body,Будь ласка спочатку виберіть USB-пристрій.
msgbox_usb_found_title,Знайдено новий USB-пристрій
msgbox_usb_found_body,USB-пристрій знайдено
msgbox_no_devices_title,Немає пристроїв
msgbox_no_devices_body,USB-диски не знайдено. Будь ласка підключіть диск і повторіть спробу.
msgbox_scan_error_title,Помилка сканування
msgbox_scan_error_body,Не вдалося просканувати USB-пристрої:
no_usb_found,USB-пристроїв не знайдено
dlg_select_image_title,Вибрати образ диска
dlg_select_image_filter,ISO-образи (*.iso);;Усі файли (*)
about_content,lufus — це інструмент запису образів дисків написаний на Python для Linux.

Натхненний оригінальним інструментом lufus для Windows.

Версія: 1.0.0
GitHub: github.com/hog185/lufus
